hgnc_symbol,ensembl_gene_id,ensembl_transcript_id,transcript_biotype,mirbase_id,log2FoldChange,pvalue,padj
SLC6A6,ENSG00000131389,ENST00000618278,nonsense_mediated_decay,,8.576140352,5.39199700325346e-08,1.70321747763376e-05
BBOF1,ENSG00000119636,ENST00000394009,protein_coding,,1.240800015,5.59682922190388e-08,1.76029928734432e-05
ADPGK,ENSG00000159322,ENST00000456471,protein_coding,,-5.691155653,5.63059925643399e-08,1.76302286115151e-05
PLEKHB2,ENSG00000115762,ENST00000693505,protein_coding,NA,-0.456697448,5.6538119382394e-08,1.76302286115151e-05
DDX3X,ENSG00000215301,ENST00000646196,retained_intron,,-8.544299248,6.10794701585569e-08,1.89653054405514e-05
CAST,ENSG00000153113,ENST00000674984,protein_coding,NA,8.583680209,6.20009478211357e-08,1.91698523754773e-05
BTBD3,ENSG00000132640,ENST00000378226,protein_coding,,-6.122388785,6.45498251701249e-08,1.98737200127159e-05
ARPC1B,ENSG00000130429,ENST00000431816,protein_coding,NA,8.691131192,6.58111638319879e-08,2.01769285819012e-05
B4GALT6,ENSG00000118276,ENST00000306851,protein_coding,,-0.987489464,6.6577679684766e-08,2.03265277457657e-05
TMEM241,ENSG00000134490,ENST00000475185,processed_transcript,NA,-5.51306382,6.93639116706009e-08,2.10889412782517e-05
GNAS,ENSG00000087460,ENST00000467321,protein_coding,NA,8.516984207,7.0821452749193e-08,2.14427376108013e-05
MAOA,ENSG00000189221,ENST00000689087,protein_coding,NA,-8.687644756,7.12874875306995e-08,2.14946503724797e-05
SSH1,ENSG00000084112,ENST00000546433,nonsense_mediated_decay,NA,0.613077416,7.51778960373953e-08,2.25744062471468e-05
RANGAP1,ENSG00000100401,ENST00000452543,protein_coding,NA,-1.233363659,7.69946644967386e-08,2.30251913073689e-05
ADAMTS1,ENSG00000154734,ENST00000451462,protein_coding,NA,-8.478411447,7.86653052589097e-08,2.34287754862536e-05
TRIM2,ENSG00000109654,ENST00000675899,protein_coding,NA,8.482442874,8.53548147743183e-08,2.53177647335466e-05
TRIB1,ENSG00000173334,ENST00000519576,protein_coding,,-5.624484656,8.64389953680633e-08,2.55355490446026e-05
,ENSG00000272921,ENST00000536588,nonsense_mediated_decay,,-4.902070364,8.91723089494127e-08,2.6231755891775e-05
SMOX,ENSG00000088826,ENST00000621355,protein_coding,,-2.550197109,8.97013692218614e-08,2.6231755891775e-05
CLIP4,ENSG00000115295,ENST00000693264,protein_coding,NA,6.357540697,8.9874177350945e-08,2.6231755891775e-05
SLC7A2,ENSG00000003989,ENST00000494857,protein_coding,NA,-0.865419707,9.29868570748187e-08,2.70321314224517e-05
ABLIM1,ENSG00000099204,ENST00000651092,protein_coding,NA,5.691154126,9.55012359036106e-08,2.76529134183121e-05
ACADVL,ENSG00000072778,ENST00000543245,protein_coding,,-8.415016554,9.612443011781e-08,2.77233494736615e-05
SAMD8,ENSG00000156671,ENST00000372687,protein_coding,NA,-2.895530489,9.7233311200354e-08,2.79327568963285e-05
FPGS,ENSG00000136877,ENST00000475270,processed_transcript,NA,-5.594940414,1.00612808218877e-07,2.87902564318235e-05
ABI1,ENSG00000136754,ENST00000376166,protein_coding,,-8.393727224,1.01376502644355e-07,2.88954712693487e-05
DPCD,ENSG00000166171,ENST00000370151,protein_coding,NA,1.604070867,1.07617652789299e-07,3.04868208900002e-05
PIGH,ENSG00000100564,ENST00000560722,protein_coding,NA,5.426258103,1.07795195011787e-07,3.04868208900002e-05
SLC12A4,ENSG00000124067,ENST00000537830,protein_coding,,-8.351654772,1.15827213649706e-07,3.26319695968792e-05
PNMA1,ENSG00000176903,ENST00000316836,protein_coding,,0.59791688,1.23027702984582e-07,3.452725165915e-05
AMMECR1L,ENSG00000144233,ENST00000272647,protein_coding,NA,8.332381445,1.26883573475152e-07,3.52764968955949e-05
DNMT3A,ENSG00000119772,ENST00000380756,nonsense_mediated_decay,,5.357545553,1.2699980943923e-07,3.52764968955949e-05
DNPEP,ENSG00000123992,ENST00000434339,protein_coding,NA,5.727912304,1.27147772770824e-07,3.52764968955949e-05
TMEM167A,ENSG00000174695,ENST00000504622,processed_transcript,NA,5.415030794,1.28451850152411e-07,3.55033128860648e-05
TNC,ENSG00000041982,ENST00000423613,protein_coding,NA,-0.665086326,1.32275444108581e-07,3.63909225775339e-05
NUMB,ENSG00000133961,ENST00000557597,protein_coding,NA,8.36337609,1.32660692435369e-07,3.63909225775339e-05
WNT5B,ENSG00000111186,ENST00000397196,protein_coding,,6.215926561,1.3558750385915e-07,3.70544905677696e-05
GPSM1,ENSG00000160360,ENST00000440944,protein_coding,NA,8.274544387,1.48742999121009e-07,4.04980565666484e-05
ISG15,ENSG00000187608,ENST00000624652,protein_coding,,0.856171906,1.58052896940899e-07,4.28728765203849e-05
TBC1D20,ENSG00000125875,ENST00000354200,protein_coding,,8.233591925,1.69706234303823e-07,4.58634240914125e-05
KANSL3,ENSG00000114982,ENST00000354204,nonsense_mediated_decay,,-8.430430532,1.82822067622999e-07,4.9225684982712e-05
POLE2,ENSG00000100479,ENST00000216367,protein_coding,NA,1.410489112,1.91163505993553e-07,5.12824217107999e-05
FUT8,ENSG00000033170,ENST00000674118,protein_coding,NA,-0.410897799,1.93262483016377e-07,5.165559289648e-05
NOP56,ENSG00000101361,ENST00000462630,processed_transcript,NA,-8.243153406,1.95338630185273e-07,5.20199604648139e-05
ACOT7,ENSG00000097021,ENST00000545482,protein_coding,NA,8.188149119,1.96632246513949e-07,5.21740427768357e-05
COLGALT1,ENSG00000130309,ENST00000252599,protein_coding,NA,-0.568200628,2.0202856023434e-07,5.34067971452184e-05
NEURL4,ENSG00000215041,ENST00000315614,protein_coding,,8.291525652,2.02742062400306e-07,5.34067971452184e-05
PAM,ENSG00000145730,ENST00000348126,protein_coding,,8.282287477,2.09195981656006e-07,5.49086776599836e-05
NUDT2,ENSG00000164978,ENST00000346365,protein_coding,,5.781350907,2.14456335233734e-07,5.60876339402692e-05
NSD1,ENSG00000165671,ENST00000689326,nonsense_mediated_decay,NA,-5.954188452,2.23269940704992e-07,5.81841465477209e-05
B9D1,ENSG00000108641,ENST00000671102,protein_coding,NA,5.321921448,2.29378795926848e-07,5.95472934509708e-05
CD151,ENSG00000177697,ENST00000322008,protein_coding,,8.288452563,2.30132890488622e-07,5.95472934509708e-05
MSRA,ENSG00000175806,ENST00000441698,protein_coding,NA,-5.56477815,2.45380954335297e-07,6.32684009750457e-05
SGTA,ENSG00000104969,ENST00000677754,protein_coding,NA,8.183193597,2.67953592241472e-07,6.88452032347738e-05
ABHD17C,ENSG00000136379,ENST00000258884,protein_coding,NA,0.527216454,2.80629983845368e-07,7.18491531972939e-05
LIMCH1,ENSG00000064042,ENST00000396595,protein_coding,,-8.399433478,2.83337219284512e-07,7.22886371215114e-05
ABCA1,ENSG00000165029,ENST00000374736,protein_coding,NA,1.18714269,2.87230686714894e-07,7.30266506906355e-05
GBAP1,ENSG00000160766,ENST00000685216,processed_transcript,NA,5.874459576,2.88745524028063e-07,7.31568867961101e-05
SKIL,ENSG00000136603,ENST00000259119,protein_coding,NA,8.067855254,3.00003098564104e-07,7.57461110589119e-05
IFIT2,ENSG00000119922,ENST00000680809,protein_coding,NA,-8.058873744,3.01579477324574e-07,7.58815562117914e-05
SCN5A,ENSG00000183873,ENST00000413689,protein_coding,,-0.851805213,3.16586410240755e-07,7.93837703864171e-05
VPS13B,ENSG00000132549,ENST00000683334,nonsense_mediated_decay,NA,8.024189255,3.33541298416353e-07,8.33487721330291e-05
HCCS,ENSG00000004961,ENST00000380762,protein_coding,,0.685140123,3.37436198675932e-07,8.40342817234998e-05
IFT81,ENSG00000122970,ENST00000242591,protein_coding,NA,0.822713401,3.42491778150479e-07,8.50031975104902e-05
BRPF1,ENSG00000156983,ENST00000424362,protein_coding,NA,-8.044374088,3.44379534228487e-07,8.51819859443533e-05
AK4,ENSG00000162433,ENST00000395334,protein_coding,,8.146328041,3.58879850305263e-07,8.82209970662401e-05
TBK1,ENSG00000183735,ENST00000331710,protein_coding,,-8.018643941,3.59083928964386e-07,8.82209970662401e-05
ZNF561,ENSG00000171469,ENST00000302851,protein_coding,,-8.178228661,3.79625752923291e-07,9.29548051654587e-05
SEPTIN6,ENSG00000125354,ENST00000467310,processed_transcript,NA,-5.235210891,3.87009321743833e-07,9.44458066521872e-05
ATP8B2,ENSG00000143515,ENST00000672630,protein_coding,NA,7.992439263,4.03942375022337e-07,9.82495574020997e-05
RCBTB2,ENSG00000136161,ENST00000430805,protein_coding,NA,-5.700432498,4.08434313326508e-07,9.90120763282678e-05
EEF1A1,ENSG00000156508,ENST00000678702,protein_coding,NA,-7.954176667,4.15839989679869e-07,0.000100474
EIF4A1,ENSG00000161960,ENST00000582169,protein_coding,,-7.992446383,4.20914376191855e-07,0.000101364
STAT3,ENSG00000168610,ENST00000588969,protein_coding,,8.130970769,4.25912762161006e-07,0.00010223
TNIP1,ENSG00000145901,ENST00000610874,protein_coding,,7.982966428,4.38695667030768e-07,0.000104862
RAD51AP1,ENSG00000111247,ENST00000228843,protein_coding,NA,3.795411471,4.39752491489474e-07,0.000104862
IGFBP3,ENSG00000146674,ENST00000381086,protein_coding,,-0.667867721,4.47228712958981e-07,0.000106298
QARS1,ENSG00000172053,ENST00000306125,protein_coding,,-1.325986562,4.56491977888435e-07,0.000108147
MAN1B1,ENSG00000177239,ENST00000683324,protein_coding,NA,7.961904855,4.76241543347604e-07,0.000112461
WDR20,ENSG00000140153,ENST00000454394,protein_coding,,-5.33389474,4.89465727800245e-07,0.000115211
SMC1A,ENSG00000072501,ENST00000322213,protein_coding,,0.596343964,4.96777783841577e-07,0.00011655
MCM3,ENSG00000112118,ENST00000229854,protein_coding,NA,5.345767578,4.98349044746852e-07,0.00011655
SLC49A3,ENSG00000169026,ENST00000503156,protein_coding,NA,-5.470313414,5.43427559038348e-07,0.000126686
PCBP2,ENSG00000197111,ENST00000439930,protein_coding,NA,-7.900847113,5.61030794966084e-07,0.000130374
RASSF8,ENSG00000123094,ENST00000541490,protein_coding,,-7.914863541,5.78474588521147e-07,0.000134
SUMF2,ENSG00000129103,ENST00000650735,protein_coding,NA,7.851722649,5.89025821777131e-07,0.000136013
NCK1,ENSG00000158092,ENST00000469404,protein_coding,NA,-5.309849259,5.91837482656662e-07,0.000136231
IPO5,ENSG00000065150,ENST00000469360,protein_coding,NA,7.986762357,5.96360512270213e-07,0.00013684
RPS6KA4,ENSG00000162302,ENST00000334205,protein_coding,,7.936610575,6.03799168309146e-07,0.000138113
PLAT,ENSG00000104368,ENST00000429089,protein_coding,NA,8.044365515,6.10057079862136e-07,0.000139108
LARP7,ENSG00000174720,ENST00000509622,nonsense_mediated_decay,NA,7.851722531,6.20644869386064e-07,0.000140741
CTSL,ENSG00000135047,ENST00000678442,protein_coding,NA,0.566058978,6.21076303630351e-07,0.000140741
TRAF3,ENSG00000131323,ENST00000560371,protein_coding,NA,7.834971313,6.30269985168154e-07,0.000142382
DCAF7,ENSG00000136485,ENST00000614556,protein_coding,,-0.471596849,6.3283038967033e-07,0.00014252
SERPINE1,ENSG00000106366,ENST00000223095,protein_coding,NA,-0.892442198,6.39336956616647e-07,0.000143542
FBXO36,ENSG00000153832,ENST00000283946,protein_coding,,4.411808705,6.62533172824656e-07,0.000147583
SLC29A1,ENSG00000112759,ENST00000393844,protein_coding,,-0.478266763,6.62772848931797e-07,0.000147583
PARP12,ENSG00000059378,ENST00000489809,protein_coding,NA,-5.584955452,6.65393886207941e-07,0.000147583
ZFAND6,ENSG00000086666,ENST00000618205,protein_coding,,7.84546345,6.65427498364386e-07,0.000147583
BRD8,ENSG00000112983,ENST00000512140,nonsense_mediated_decay,NA,7.815890647,6.67585705565603e-07,0.000147613
ICAM2,ENSG00000108622,ENST00000418105,protein_coding,NA,-5.129277545,6.83462773098016e-07,0.000150667
YY1AP1,ENSG00000163374,ENST00000368330,protein_coding,NA,-7.813761758,7.24425387425689e-07,0.000159216
DLG1,ENSG00000075711,ENST00000661013,protein_coding,NA,-7.785705605,7.61915502085668e-07,0.000166953
CANT1,ENSG00000171302,ENST00000302345,protein_coding,,7.76373962,7.64349379888261e-07,0.000166985
TSC1,ENSG00000165699,ENST00000643625,nonsense_mediated_decay,,7.748166882,7.99312599488703e-07,0.000173651
ELMOD2,ENSG00000179387,ENST00000513606,protein_coding,NA,-5.183216107,7.99619925342765e-07,0.000173651
MIA2,ENSG00000150527,ENST00000396165,protein_coding,,5.594937699,8.05383840805349e-07,0.000174384
DCTN5,ENSG00000166847,ENST00000563614,retained_intron,NA,-0.816280926,8.29914645981029e-07,0.000178876
MRPL11,ENSG00000174547,ENST00000310999,protein_coding,,5.333893168,8.31033343032818e-07,0.000178876
TTLL4,ENSG00000135912,ENST00000467841,retained_intron,NA,-5.129277448,8.53974967383511e-07,0.000183273
ERLEC1,ENSG00000068912,ENST00000687723,protein_coding,NA,7.763739336,8.65212781085586e-07,0.00018514
ARMC6,ENSG00000105676,ENST00000545091,nonsense_mediated_decay,NA,6.087450923,8.80964391892308e-07,0.00018796
NDUFS1,ENSG00000023228,ENST00000449699,protein_coding,NA,-7.748173596,8.86824660823185e-07,0.000188658
SLC37A4,ENSG00000137700,ENST00000526275,retained_intron,NA,5.53396991,9.05964290065284e-07,0.00019217
VCP,ENSG00000165280,ENST00000493886,retained_intron,NA,0.611133584,9.11418190070141e-07,0.000192766
MOSPD1,ENSG00000101928,ENST00000370783,protein_coding,NA,-0.620663132,9.14681894647395e-07,0.000192897
PRKAR1A,ENSG00000108946,ENST00000592800,protein_coding,,0.746784536,9.20006222802403e-07,0.000193461
ADAR,ENSG00000160710,ENST00000648311,protein_coding,NA,0.851374146,9.23938739724596e-07,0.00019373
METTL8,ENSG00000123600,ENST00000375258,protein_coding,NA,-7.705037326,9.38522592726057e-07,0.000196224
ASAH1,ENSG00000104763,ENST00000636033,nonsense_mediated_decay,,-7.734690364,9.48159000722843e-07,0.000197672
CFAP119,ENSG00000196118,ENST00000544487,retained_intron,,5.260520237,9.53227920995125e-07,0.000198163
ATF2,ENSG00000115966,ENST00000264110,protein_coding,NA,-7.950291941,9.61400194329715e-07,0.000199294
CHEK1,ENSG00000149554,ENST00000534070,protein_coding,NA,-0.697549034,9.69139947489782e-07,0.000200329
VCP,ENSG00000165280,ENST00000479300,retained_intron,NA,0.620910821,9.99241082572896e-07,0.000205968
RPL7L1,ENSG00000146223,ENST00000304734,protein_coding,,-0.478909582,1.01103957352007e-06,0.000207537
FRMPD3,ENSG00000147234,ENST00000684358,protein_coding,NA,5.058887267,1.01254313368919e-06,0.000207537
,ENSG00000254422,ENST00000526310,lncRNA,NA,-1.284514277,1.05203938512111e-06,0.000215029
SSH1,ENSG00000084112,ENST00000326495,protein_coding,,0.581053254,1.08924503031164e-06,0.000222011
ADORA2A,ENSG00000128271,ENST00000337539,protein_coding,,7.646233077,1.10061677341837e-06,0.000223373
SLTM,ENSG00000137776,ENST00000492526,nonsense_mediated_decay,NA,-7.64623985,1.10204960777622e-06,0.000223373
ACVR1,ENSG00000115170,ENST00000682690,processed_transcript,NA,7.643830599,1.10729987739126e-06,0.000223816
FBXW9,ENSG00000132004,ENST00000393261,protein_coding,,0.921602905,1.12249894914118e-06,0.000226261
MFSD1,ENSG00000118855,ENST00000415822,protein_coding,NA,-7.662946016,1.1332901164128e-06,0.000227807
BRIP1,ENSG00000136492,ENST00000683039,protein_coding,NA,7.631757812,1.14887077751832e-06,0.000230109
FDPS,ENSG00000160752,ENST00000489324,retained_intron,NA,4.255495773,1.1510518834049e-06,0.000230109
HDX,ENSG00000165259,ENST00000373177,protein_coding,NA,-5.403715506,1.17257162596041e-06,0.000233771
C6orf132,ENSG00000188112,ENST00000341865,protein_coding,,-0.761099437,1.20255070902804e-06,0.000239095
PANX1,ENSG00000110218,ENST00000227638,protein_coding,NA,-0.534751765,1.21589948358817e-06,0.000241092
ANK2,ENSG00000145362,ENST00000672088,protein_coding,NA,-7.619589822,1.24620766422962e-06,0.000246432
MAX,ENSG00000125952,ENST00000358664,protein_coding,,-7.658192365,1.25349382255041e-06,0.000247203
WDR62,ENSG00000075702,ENST00000679489,nonsense_mediated_decay,NA,5.169917914,1.26868183820832e-06,0.000249523
TEX264,ENSG00000164081,ENST00000416589,protein_coding,NA,-7.609775571,1.27416535692994e-06,0.000249928
RCOR3,ENSG00000117625,ENST00000367005,protein_coding,NA,-7.705036794,1.32002241485365e-06,0.000258229
MTMR2,ENSG00000087053,ENST00000676272,protein_coding,NA,-5.930728412,1.335124184263e-06,0.000260485
PPP2R2A,ENSG00000221914,ENST00000315985,protein_coding,,7.629330742,1.34080818981398e-06,0.000260896
CREBZF,ENSG00000137504,ENST00000525639,nonsense_mediated_decay,NA,-5.841293695,1.39532868965132e-06,0.000270465
SERP1,ENSG00000120742,ENST00000239944,protein_coding,NA,-0.734704235,1.39739968420636e-06,0.000270465
CDC45,ENSG00000093009,ENST00000407835,protein_coding,,-7.718798481,1.41544765671122e-06,0.000273234
UBE2D3,ENSG00000109332,ENST00000618836,protein_coding,,7.626899805,1.42160710853394e-06,0.000273699
CDK19,ENSG00000155111,ENST00000413605,protein_coding,,7.564759287,1.43082603625971e-06,0.000274749
RTN2,ENSG00000125744,ENST00000430715,protein_coding,NA,5.08745605,1.44152353978135e-06,0.000276076
STK32C,ENSG00000165752,ENST00000368622,protein_coding,NA,7.589937491,1.48506741275576e-06,0.000283671
RNA5-8SN2,ENSG00000278233,ENST00000612463,rRNA,,-7.59492762,1.54153460412228e-06,0.000293689
SDCBP,ENSG00000137575,ENST00000520168,protein_coding,,-7.536552463,1.56037025857811e-06,0.000296503
HSP90B1,ENSG00000166598,ENST00000680391,nonsense_mediated_decay,NA,2.613911927,1.58300979901623e-06,0.000300024
ATE1,ENSG00000107669,ENST00000692718,nonsense_mediated_decay,NA,-7.552009894,1.61052413272207e-06,0.000304313
SPG11,ENSG00000104133,ENST00000683496,nonsense_mediated_decay,NA,-7.579925497,1.6139848308703e-06,0.000304313
ASAH1,ENSG00000104763,ENST00000637991,protein_coding,,7.592431097,1.6315886004993e-06,0.00030684
WSB2,ENSG00000176871,ENST00000441406,protein_coding,NA,-7.510416057,1.66902091939802e-06,0.000313072
LANCL1,ENSG00000115365,ENST00000233714,protein_coding,NA,-5.357545292,1.69970742195143e-06,0.000318011
OSBPL3,ENSG00000070882,ENST00000409555,nonsense_mediated_decay,,7.494497233,1.75326969103032e-06,0.000327193
TADA2B,ENSG00000173011,ENST00000506692,protein_coding,NA,5.169917661,1.78097279020348e-06,0.000331515
NFXL1,ENSG00000170448,ENST00000381538,protein_coding,,-7.752638963,1.79932330734008e-06,0.000334079
DCTN5,ENSG00000166847,ENST00000300087,protein_coding,,-0.818595003,1.82469422673658e-06,0.00033793
SRSF2,ENSG00000161547,ENST00000508921,protein_coding,NA,-7.51830663,1.84177771973268e-06,0.00034023
STK26,ENSG00000134602,ENST00000394335,protein_coding,,5.946407108,1.87237788190776e-06,0.000345009
MKNK1,ENSG00000079277,ENST00000342571,processed_transcript,,7.475708395,1.89998056630853e-06,0.000349214
EHD2,ENSG00000024422,ENST00000263277,protein_coding,NA,0.502963453,1.93507777611098e-06,0.000354771
RAB36,ENSG00000100228,ENST00000263116,protein_coding,NA,1.070835124,1.96360518642946e-06,0.000359099
SC5D,ENSG00000109929,ENST00000392789,protein_coding,,-0.500252391,1.98601355784231e-06,0.000362289
IBTK,ENSG00000005700,ENST00000306270,protein_coding,,-0.889852276,2.03189566899262e-06,0.000369734
AATF,ENSG00000275700,ENST00000679508,processed_transcript,NA,-7.557125419,2.04479388485917e-06,0.000371156
LIG4,ENSG00000174405,ENST00000686913,protein_coding,NA,-7.531362481,2.09197985035059e-06,0.000378778
FUZ,ENSG00000010361,ENST00000533418,protein_coding,NA,-5.26052108,2.10020060778425e-06,0.000379325
ZBTB10,ENSG00000205189,ENST00000455036,protein_coding,,7.431820962,2.12209948323841e-06,0.000382334
PTBP3,ENSG00000119314,ENST00000374257,protein_coding,NA,-0.546035884,2.19275481593611e-06,0.000394091
KLHL15,ENSG00000174010,ENST00000328046,protein_coding,,7.417827735,2.21951234514733e-06,0.00039792
DNAJC5,ENSG00000101152,ENST00000470551,nonsense_mediated_decay,NA,0.447302345,2.35147596919967e-06,0.000420545
AKAP12,ENSG00000131016,ENST00000354675,protein_coding,,-0.996824169,2.35879146854161e-06,0.000420822
PLXND1,ENSG00000004399,ENST00000503166,retained_intron,NA,4.999993243,2.42622244884766e-06,0.000431797
SMARCD2,ENSG00000108604,ENST00000323347,protein_coding,,-5.044388337,2.45898908978243e-06,0.000436563
AKT1S1,ENSG00000204673,ENST00000391835,protein_coding,,0.494882328,2.50465332564109e-06,0.000443591
YAP1,ENSG00000137693,ENST00000629586,protein_coding,,-0.917143177,2.53154361848096e-06,0.000447268
ASCC2,ENSG00000100325,ENST00000307790,protein_coding,,-7.360463249,2.65940735927876e-06,0.000468724
UQCRC1,ENSG00000010256,ENST00000415995,nonsense_mediated_decay,NA,-7.398012678,2.71271448544781e-06,0.000476967
ZNF763,ENSG00000197054,ENST00000343949,protein_coding,,5.044387065,2.72531856613703e-06,0.000478031
ZNF160,ENSG00000170949,ENST00000418871,protein_coding,NA,0.921430756,2.76372125894627e-06,0.000483281
CIC,ENSG00000079432,ENST00000572681,protein_coding,,7.442917913,2.76849241472516e-06,0.000483281
SCP2,ENSG00000116171,ENST00000371514,protein_coding,NA,0.522098914,2.78720158875576e-06,0.000485386
PSEN2,ENSG00000143801,ENST00000521431,retained_intron,,-4.9228267,2.82572772028668e-06,0.000489631
TCTN3,ENSG00000119977,ENST00000614499,protein_coding,,-7.342797407,2.82982491441321e-06,0.000489631
ARHGAP12,ENSG00000165322,ENST00000396144,protein_coding,,-1.067410261,2.83170820879754e-06,0.000489631
ZNF250,ENSG00000196150,ENST00000533622,protein_coding,NA,-5.087456816,2.94172054661135e-06,0.000506264
HDAC11,ENSG00000163517,ENST00000522202,protein_coding,,5.087455516,2.94178330778611e-06,0.000506264
AKAP8L,ENSG00000011243,ENST00000679638,protein_coding,NA,-7.392298909,2.99593269279199e-06,0.00051437
B3GNT5,ENSG00000176597,ENST00000326505,protein_coding,,-0.537955543,3.00392892900434e-06,0.000514532
GMPPB,ENSG00000173540,ENST00000678853,nonsense_mediated_decay,NA,-7.309837321,3.07391470477235e-06,0.000525287
APOBEC3C,ENSG00000244509,ENST00000428892,nonsense_mediated_decay,NA,-5.169918641,3.14381791223536e-06,0.000535977
TMEM131L,ENSG00000121210,ENST00000409959,protein_coding,,7.315879778,3.16756472506581e-06,0.00053756
MBNL2,ENSG00000139793,ENST00000679496,protein_coding,NA,-5.772580644,3.1678560722638e-06,0.00053756
HNRNPL,ENSG00000104824,ENST00000598985,retained_intron,,-5.491845476,3.17520394224498e-06,0.00053756
PCDHGC3,ENSG00000240184,ENST00000617641,protein_coding,,-7.294602848,3.21510431076725e-06,0.000543055
PLS1,ENSG00000120756,ENST00000457734,protein_coding,,-0.724179536,3.31447954822924e-06,0.000558547
CCP110,ENSG00000103540,ENST00000396208,protein_coding,,7.431819844,3.358920059838e-06,0.000563916
LRPPRC,ENSG00000138095,ENST00000683645,retained_intron,NA,4.285397192,3.36179212256407e-06,0.000563916
UBLCP1,ENSG00000164332,ENST00000296786,protein_coding,,-0.513908543,3.37278710670931e-06,0.000564462
CLIP4,ENSG00000115295,ENST00000415891,nonsense_mediated_decay,NA,-7.285384293,3.4090966449526e-06,0.000569233
BRD3OS,ENSG00000235106,ENST00000432807,protein_coding,NA,0.794205841,3.45168303723412e-06,0.000575028
MAST3,ENSG00000099308,ENST00000262811,protein_coding,NA,0.933201665,3.46281376512552e-06,0.000575569
SETD5,ENSG00000168137,ENST00000406341,protein_coding,,-7.345756428,3.47900693737054e-06,0.000576946
ALDH7A1,ENSG00000164904,ENST00000637206,protein_coding,,-7.26676882,3.49831075665969e-06,0.000578832
UMAD1,ENSG00000219545,ENST00000636849,protein_coding,,-7.263642724,3.53306882714828e-06,0.000582008
USP36,ENSG00000055483,ENST00000589225,nonsense_mediated_decay,,5.448451072,3.5334606160426e-06,0.000582008
TAB3,ENSG00000157625,ENST00000378930,protein_coding,,7.363379341,3.64539615262983e-06,0.000599093
MAN1B1,ENSG00000177239,ENST00000474902,processed_transcript,NA,-7.247909825,3.69502888531658e-06,0.000605885
SRPX,ENSG00000101955,ENST00000378533,protein_coding,,7.254216978,3.8082592950805e-06,0.000623052
PRRG1,ENSG00000130962,ENST00000378628,protein_coding,,7.235192413,3.84205132995085e-06,0.000627174
PUM1,ENSG00000134644,ENST00000424085,protein_coding,NA,2.262505617,3.92228441020016e-06,0.000638842
ZDHHC6,ENSG00000023041,ENST00000682055,protein_coding,NA,-7.291536237,3.94804656110081e-06,0.000641606
CALM2,ENSG00000143933,ENST00000655450,protein_coding,NA,-7.257369859,4.02010025295866e-06,0.000651864
ROBO4,ENSG00000154133,ENST00000306534,protein_coding,,-0.887973501,4.06135086344936e-06,0.000657092
EXOC5,ENSG00000070367,ENST00000413566,protein_coding,,-0.640345554,4.15312884900549e-06,0.000670455
GATAD1,ENSG00000157259,ENST00000645746,nonsense_mediated_decay,,5.183213707,4.19836231931144e-06,0.000676261
JUN,ENSG00000177606,ENST00000371222,protein_coding,NA,-0.620179823,4.3063527077528e-06,0.000692128
CHMP7,ENSG00000147457,ENST00000397677,protein_coding,,-7.69810417,4.49753744801697e-06,0.000721267
ACADM,ENSG00000117054,ENST00000526196,nonsense_mediated_decay,NA,7.215913055,4.57921341068679e-06,0.000731641
USP5,ENSG00000111667,ENST00000229268,protein_coding,NA,7.23838015,4.58228151339002e-06,0.000731641
CELF1,ENSG00000149187,ENST00000395290,protein_coding,,-0.690513575,4.61122631476993e-06,0.000734655
AGPS,ENSG00000018510,ENST00000679994,protein_coding,NA,7.19309057,4.69756057777083e-06,0.000744987
SCEL,ENSG00000136155,ENST00000349847,protein_coding,,-4.922826446,4.70661505307532e-06,0.000744987
ANXA10,ENSG00000109511,ENST00000507278,retained_intron,NA,4.92282525,4.70670997430167e-06,0.000744987
CTNNBIP1,ENSG00000178585,ENST00000377263,protein_coding,,-0.592264154,4.83203285410602e-06,0.000761966
ATP6AP1,ENSG00000071553,ENST00000619046,protein_coding,,-7.251069611,4.84266214808227e-06,0.000761966
SLC44A1,ENSG00000070214,ENST00000374720,protein_coding,NA,0.905969689,4.84530439003387e-06,0.000761966
ERI1,ENSG00000104626,ENST00000250263,protein_coding,NA,-0.720289822,4.86555829147084e-06,0.000763505
SFI1,ENSG00000198089,ENST00000540643,protein_coding,,-1.329622648,4.88703354643996e-06,0.00076523
YPEL5,ENSG00000119801,ENST00000402003,protein_coding,,-5.392309915,4.92711358337138e-06,0.000769854
MECOM,ENSG00000085276,ENST00000628990,protein_coding,,-7.219150475,4.96783381711625e-06,0.000774557
TRIO,ENSG00000038382,ENST00000509967,protein_coding,NA,-0.770806198,5.08029667022308e-06,0.000790403
DDX58,ENSG00000107201,ENST00000679771,nonsense_mediated_decay,NA,-0.491056223,5.11495875733754e-06,0.000794103
TGFBR2,ENSG00000163513,ENST00000672050,processed_transcript,NA,4.922825176,5.17490008220046e-06,0.000801703
TSC1,ENSG00000165699,ENST00000647534,retained_intron,NA,7.14293413,5.18862191715851e-06,0.000802126
LIMS2,ENSG00000072163,ENST00000413578,nonsense_mediated_decay,,-5.142951393,5.27821944847896e-06,0.000814252
TMEM87B,ENSG00000153214,ENST00000471632,processed_transcript,NA,5.156496299,5.31368972776275e-06,0.000817994
MYO5A,ENSG00000197535,ENST00000553916,protein_coding,NA,-5.437397567,5.37733363042414e-06,0.000826049
